year,state,month,avg_wind_speed_mph,avg_rainfall_in,max_temperature_f,palmer_hydrological_drought_index,avg_humidity_pct
1998,AK,12,10.6,0.9,17.7,-2.3,83
1999,AK,1,8.9,1.13,24.1,-1.46,77
1999,AK,2,8.4,0.55,27.2,-0.82,83
1999,AK,3,9.0,0.75,27.9,1.75,76
1999,AK,4,10.3,0.7,48.3,1.96,64
1999,AK,5,10.2,0.8,60.4,1.05,72
1999,AK,6,10.1,0.93,66.1,-1.49,75
1999,AK,7,8.2,2.85,61.5,-0.08,73
1999,AK,8,7.9,2.89,68.2,-2.37,81
1999,AK,9,10.9,3.94,56.8,-1.78,77
1999,AK,10,8.8,1.97,37.4,-2.67,72
1999,AK,11,10.8,1.38,25.9,-1.21,76
1999,AK,12,10.6,1.37,22.3,-0.48,71
2000,AK,1,9.9,1.16,16.3,0.21,83
2000,AK,2,10.2,0.67,24.7,-2.72,79
2000,AK,3,11.4,0.84,29.4,-1.5,76
2000,AK,4,10.7,0.46,39.0,1.48,66
2000,AK,5,10.5,0.76,51.2,1.25,66
2000,AK,6,8.2,1.77,63.6,2.09,64
2000,AK,7,7.4,1.57,72.2,-0.79,68
2000,AK,8,9.3,3.55,62.4,-0.87,72
2000,AK,9,10.8,3.04,52.2,1.42,80
2000,AK,10,8.8,2.39,45.5,-1.39,70
2000,AK,11,9.6,1.12,26.2,-0.47,76
2000,AK,12,8.4,0.95,24.0,-1.0,75
2001,AK,1,9.1,0.84,23.1,-1.3,75
2001,AK,2,9.0,0.74,22.9,0.46,69
2001,AK,3,11.2,0.68,38.3,0.34,69
2001,AK,4,10.3,0.42,48.3,2.58,73
2001,AK,5,9.5,0.7,60.8,1.58,64
2001,AK,6,8.1,1.19,57.7,-1.27,77
2001,AK,7,7.5,2.61,65.9,0.11,71
2001,AK,8,8.2,2.18,70.2,1.99,74
2001,AK,9,8.9,1.59,52.6,-0.59,71
2001,AK,10,9.1,1.57,37.8,0.28,74
2001,AK,11,9.0,0.63,21.9,2.06,73
2001,AK,12,9.4,0.81,24.9,-1.93,72
2002,AK,1,9.5,1.25,22.2,-0.27,81
2002,AK,2,10.9,0.9,26.2,-2.03,72
2002,AK,3,8.9,0.83,29.3,-0.0,74
2002,AK,4,10.8,0.63,38.7,0.04,78
2002,AK,5,9.5,0.96,62.3,1.67,67
2002,AK,6,9.4,1.91,60.9,1.24,62
2002,AK,7,8.4,1.41,66.8,-1.76,68
2002,AK,8,8.6,2.66,62.7,-1.39,68
2002,AK,9,8.3,1.79,52.7,1.66,72
2002,AK,10,8.6,2.29,46.3,0.27,73
2002,AK,11,10.7,1.61,22.5,-2.33,83
2002,AK,12,9.8,0.51,18.4,1.22,71
2003,AK,1,10.6,0.54,20.4,-0.93,75
2003,AK,2,9.3,0.57,27.0,1.82,77
2003,AK,3,9.3,0.56,34.2,1.02,67
2003,AK,4,10.0,0.61,40.2,-1.83,74
2003,AK,5,9.9,0.64,57.5,-0.81,72
2003,AK,6,9.7,1.1,61.4,2.74,73
2003,AK,7,8.0,2.69,63.1,1.78,80
2003,AK,8,10.1,1.72,62.7,-2.41,69
2003,AK,9,9.5,2.8,52.1,0.77,72
2003,AK,10,8.9,1.86,35.1,-0.64,75
2003,AK,11,10.3,1.7,29.5,2.06,82
2003,AK,12,9.2,0.84,17.1,-2.75,80
2004,AK,1,9.3,1.2,19.7,-1.74,79
2004,AK,2,8.8,0.53,28.9,2.03,79
2004,AK,3,9.9,0.58,32.5,2.02,73
2004,AK,4,11.5,0.55,38.5,0.11,72
2004,AK,5,10.2,0.74,55.6,2.35,59
2004,AK,6,8.1,1.15,67.9,-1.35,68
2004,AK,7,8.8,2.32,69.7,-1.47,75
2004,AK,8,8.2,3.32,67.9,-1.72,75
2004,AK,9,10.5,4.18,55.8,2.17,84
2004,AK,10,11.3,2.15,42.0,-2.79,80
2004,AK,11,10.9,1.77,30.7,-0.79,77
2004,AK,12,9.8,1.06,25.4,-0.79,85
2005,AK,1,9.9,0.46,18.0,0.71,78
2005,AK,2,8.7,0.67,22.8,0.55,72
2005,AK,3,11.0,0.54,33.2,1.74,70
2005,AK,4,11.0,0.77,41.6,2.51,73
2005,AK,5,10.4,0.96,59.3,1.07,60
2005,AK,6,7.7,1.28,59.7,-2.1,75
2005,AK,7,9.5,2.88,71.3,1.27,73
2005,AK,8,9.1,1.42,68.8,-1.05,77
2005,AK,9,8.4,3.99,57.3,0.27,72
2005,AK,10,10.5,2.83,35.3,-0.42,75
2005,AK,11,9.2,1.26,31.0,0.44,80
2005,AK,12,9.2,0.56,23.1,-1.21,86
2006,AK,1,10.5,0.63,17.3,0.15,83
2006,AK,2,9.8,0.89,21.8,-1.04,81
2006,AK,3,9.0,0.66,29.8,1.01,71
2006,AK,4,11.7,0.72,49.4,-2.33,77
2006,AK,5,10.9,0.94,61.7,0.28,65
2006,AK,6,9.7,1.09,58.7,0.6,64
2006,AK,7,7.7,2.95,65.1,-1.43,64
2006,AK,8,8.1,3.75,64.2,-0.3,80
2006,AK,9,9.0,2.02,50.9,0.55,71
2006,AK,10,10.7,1.55,43.2,-2.72,75
2006,AK,11,10.5,1.63,30.9,-1.56,72
2006,AK,12,10.9,0.52,16.3,-1.28,81
2007,AK,1,8.8,1.26,16.1,-1.62,83
2007,AK,2,9.1,0.66,25.7,0.61,70
2007,AK,3,11.4,0.8,34.7,1.56,78
2007,AK,4,11.6,0.34,44.3,-0.01,74
2007,AK,5,9.5,0.52,59.8,0.15,60
2007,AK,6,9.3,1.63,58.7,-1.47,65
2007,AK,7,9.3,2.98,69.0,-1.06,78
2007,AK,8,10.0,3.75,65.3,-0.57,81
2007,AK,9,10.0,1.55,60.0,0.6,76
2007,AK,10,10.3,2.52,37.0,-2.06,73
2007,AK,11,10.8,0.98,22.9,-2.71,80
2007,AK,12,10.2,0.54,16.6,-0.89,84
2008,AK,1,9.4,1.22,16.8,-0.53,72
2008,AK,2,10.4,0.44,32.3,-0.72,70
2008,AK,3,10.7,0.34,31.7,1.97,77
2008,AK,4,10.2,0.56,44.3,2.52,62
2008,AK,5,10.8,0.62,59.4,0.59,64
2008,AK,6,10.3,1.54,61.0,0.78,65
2008,AK,7,9.7,1.72,72.2,-0.35,77
2008,AK,8,9.0,3.5,60.3,0.71,79
2008,AK,9,10.7,2.93,49.8,0.39,81
2008,AK,10,11.5,2.32,41.4,-1.79,84
2008,AK,11,9.4,0.88,31.6,0.76,81
2008,AK,12,8.3,1.38,24.1,0.55,75
2009,AK,1,10.4,1.0,24.1,0.24,72
2009,AK,2,8.5,0.56,32.1,1.06,75
2009,AK,3,9.8,0.7,29.8,-2.57,81
2009,AK,4,9.3,0.79,40.0,0.13,64
2009,AK,5,11.2,1.02,50.8,-0.25,65
2009,AK,6,9.4,1.91,68.1,2.68,72
2009,AK,7,9.0,1.46,60.6,-2.07,77
2009,AK,8,8.2,3.58,60.7,-1.69,75
2009,AK,9,9.0,2.02,61.5,-0.44,77
2009,AK,10,10.9,2.58,46.2,0.23,82
2009,AK,11,10.4,1.2,28.7,-1.09,86
2009,AK,12,8.6,0.53,24.8,-0.93,81
2010,AK,1,8.0,0.64,22.7,-1.83,71
2010,AK,2,8.4,0.63,27.8,-0.67,78
2010,AK,3,10.4,0.65,37.9,-0.47,71
2010,AK,4,10.8,0.28,49.6,1.5,69
2010,AK,5,9.5,0.46,55.3,-1.58,64
2010,AK,6,9.5,1.0,66.6,1.59,78
2010,AK,7,9.2,2.88,63.1,2.02,71
2010,AK,8,9.7,2.65,61.7,1.51,80
2010,AK,9,9.0,4.08,49.9,0.69,81
2010,AK,10,11.4,2.46,36.0,-1.61,85
2010,AK,11,11.5,0.72,32.9,-2.45,73
2010,AK,12,10.8,1.17,17.4,-0.37,78
2011,AK,1,8.9,0.88,16.2,-2.32,81
2011,AK,2,11.1,0.83,23.1,-0.01,74
2011,AK,3,11.1,0.55,31.3,0.82,68
2011,AK,4,11.6,0.28,46.7,0.68,70
2011,AK,5,9.7,0.56,60.9,-1.27,65
2011,AK,6,9.6,1.7,59.2,2.7,65
2011,AK,7,8.8,1.75,70.2,2.1,66
2011,AK,8,8.2,3.07,64.6,0.65,67
2011,AK,9,10.8,2.77,56.1,-0.36,77
2011,AK,10,9.3,2.09,38.7,-1.47,84
2011,AK,11,10.2,0.67,23.8,-1.07,80
2011,AK,12,9.0,0.75,19.8,1.36,80
2012,AK,1,9.3,1.11,17.3,-2.81,72
2012,AK,2,10.1,0.61,24.4,-2.16,77
2012,AK,3,11.5,0.72,36.9,1.13,69
2012,AK,4,9.4,0.28,48.5,-1.47,71
2012,AK,5,9.6,0.82,60.0,-1.14,69
2012,AK,6,9.5,1.09,60.5,1.4,66
2012,AK,7,7.8,1.52,61.1,1.19,77
2012,AK,8,8.9,3.03,59.2,-0.14,82
2012,AK,9,9.4,1.98,52.7,1.32,74
2012,AK,10,8.7,2.82,40.0,-1.19,84
2012,AK,11,11.2,1.38,29.7,-2.46,87
2012,AK,12,10.2,1.43,26.6,1.76,79
2013,AK,1,9.6,0.77,17.1,0.16,87
2013,AK,2,10.0,0.95,24.2,-1.83,84
2013,AK,3,11.6,0.83,29.8,1.03,81
2013,AK,4,10.7,0.5,43.1,-0.22,73
2013,AK,5,10.7,0.52,55.8,-0.13,66
2013,AK,6,10.5,1.8,64.2,-1.35,74
2013,AK,7,8.7,2.5,64.8,-0.13,79
2013,AK,8,8.3,3.6,63.8,-1.12,81
2013,AK,9,8.8,2.41,55.3,0.23,69
2013,AK,10,10.9,2.55,38.8,-1.05,76
2013,AK,11,10.8,1.45,32.2,-0.08,82
2013,AK,12,8.7,0.98,25.0,-1.0,85
2014,AK,1,10.3,0.59,25.4,1.21,83
2014,AK,2,10.9,0.5,27.4,0.78,80
2014,AK,3,9.9,0.34,33.6,1.86,70
2014,AK,4,11.6,0.64,46.3,0.47,74
2014,AK,5,9.8,1.02,55.9,1.82,66
2014,AK,6,10.2,0.99,69.4,1.18,68
2014,AK,7,10.1,2.33,64.2,2.21,73
2014,AK,8,8.5,3.17,60.5,2.02,68
2014,AK,9,10.6,4.19,53.2,2.06,73
2014,AK,10,10.1,1.72,41.1,1.68,71
2014,AK,11,9.6,1.78,28.9,0.57,76
2014,AK,12,8.9,0.7,24.4,-0.18,84
2015,AK,1,9.0,0.61,21.3,2.02,76
2015,AK,2,10.1,0.47,25.7,-1.7,69
2015,AK,3,9.8,0.39,32.6,-0.96,76
2015,AK,4,11.1,0.57,45.8,2.16,73
2015,AK,5,9.8,0.85,53.6,-0.25,65
2015,AK,6,9.7,1.07,67.4,1.42,74
2015,AK,7,8.7,1.16,67.2,-0.88,73
2015,AK,8,8.1,2.62,59.2,1.19,73
2015,AK,9,9.9,1.7,50.7,1.1,77
2015,AK,10,8.7,1.81,35.2,-2.53,75
2015,AK,11,10.2,0.74,32.9,0.24,80
2015,AK,12,8.6,0.89,20.3,0.75,79
1992,AL,1,8.8,3.3,53.4,2.09,68
1992,AL,2,7.8,4.89,55.1,-0.5,60
1992,AL,3,9.1,8.75,61.4,-0.85,65
1992,AL,4,8.5,5.42,71.2,-1.59,63
1992,AL,5,7.3,6.25,78.4,1.56,69
1992,AL,6,6.9,5.71,93.0,-2.25,66
1992,AL,7,7.2,4.76,90.1,-0.26,76
1992,AL,8,6.7,6.13,87.5,-2.19,81
1992,AL,9,6.6,5.59,82.7,2.32,78
1992,AL,10,6.8,3.13,79.4,-1.0,75
1992,AL,11,8.4,4.48,60.7,0.26,65
1992,AL,12,9.4,8.36,56.3,-0.23,70
1993,AL,1,6.9,4.24,48.4,0.05,69
1993,AL,2,9.8,3.92,63.9,0.17,74
1993,AL,3,10.9,5.71,62.1,1.83,61
1993,AL,4,8.0,4.85,77.2,0.09,64
1993,AL,5,7.4,4.35,79.4,-1.7,64
1993,AL,6,7.9,2.44,86.5,0.2,77
1993,AL,7,8.3,3.75,96.0,-0.5,82
1993,AL,8,6.7,6.2,85.6,-1.72,76
1993,AL,9,8.3,5.93,86.2,0.54,69
1993,AL,10,6.7,4.37,75.2,-0.59,72
1993,AL,11,8.3,5.17,67.8,0.96,72
1993,AL,12,7.5,3.74,56.1,0.4,76
1994,AL,1,9.5,7.73,48.1,0.34,75
1994,AL,2,8.3,7.96,62.1,-0.67,60
1994,AL,3,9.2,10.04,64.9,-2.43,57
1994,AL,4,8.4,5.81,78.5,1.65,62
1994,AL,5,8.2,6.18,80.7,1.68,62
1994,AL,6,8.0,5.58,84.0,-2.01,69
1994,AL,7,6.2,8.16,88.3,-2.33,68
1994,AL,8,6.4,5.34,91.5,-1.37,69
1994,AL,9,8.7,3.64,91.0,0.24,67
1994,AL,10,8.4,2.8,69.1,2.26,66
1994,AL,11,9.1,5.38,68.3,2.45,74
1994,AL,12,9.3,5.26,52.5,0.53,77
1995,AL,1,7.8,7.82,56.9,2.28,72
1995,AL,2,10.3,4.72,54.6,-2.19,64
1995,AL,3,10.2,5.65,66.6,0.5,58
1995,AL,4,7.7,6.04,75.8,2.21,66
1995,AL,5,7.9,2.64,87.7,-1.41,63
1995,AL,6,7.2,2.82,87.4,1.93,70
1995,AL,7,7.8,6.05,91.9,-0.69,71
1995,AL,8,7.0,6.91,93.0,1.28,80
1995,AL,9,6.0,6.33,87.9,1.52,69
1995,AL,10,6.7,2.54,72.8,0.33,73
1995,AL,11,9.1,3.19,70.1,-2.24,65
1995,AL,12,8.9,7.11,53.5,0.97,76
1996,AL,1,9.5,4.31,49.9,1.85,76
1996,AL,2,8.6,7.9,53.2,-2.47,59
1996,AL,3,10.5,6.29,70.8,-0.32,68
1996,AL,4,7.7,3.99,71.5,-0.88,59
1996,AL,5,7.1,2.84,84.5,1.21,68
1996,AL,6,7.9,2.96,89.7,1.25,73
1996,AL,7,7.9,3.0,85.7,-2.3,73
1996,AL,8,5.2,4.28,93.5,1.06,82
1996,AL,9,8.4,6.06,87.2,-0.21,79
1996,AL,10,8.2,3.21,76.2,-0.99,76
1996,AL,11,9.5,3.79,60.3,1.45,73
1996,AL,12,7.2,4.44,60.7,-1.64,76
1997,AL,1,7.6,7.12,54.2,0.57,67
1997,AL,2,9.2,7.64,56.4,0.74,60
1997,AL,3,11.4,5.91,71.7,-1.17,71
1997,AL,4,10.1,5.74,78.2,-0.78,59
1997,AL,5,9.3,3.65,76.8,1.5,68
1997,AL,6,8.1,4.43,86.4,1.63,76
1997,AL,7,5.3,8.36,90.5,-1.47,78
1997,AL,8,5.9,3.91,84.2,-0.1,74
1997,AL,9,7.6,4.63,90.6,-1.92,76
1997,AL,10,6.5,2.77,74.9,-2.31,70
1997,AL,11,8.8,6.39,64.1,-0.97,75
1997,AL,12,7.5,5.62,61.0,-0.41,71
1998,AL,1,7.4,3.57,58.4,0.12,68
1998,AL,2,9.7,4.6,64.2,-0.57,74
1998,AL,3,9.0,7.88,63.2,-0.34,64
1998,AL,4,10.4,4.97,70.5,2.05,65
1998,AL,5,8.2,2.53,86.6,2.2,63
1998,AL,6,7.7,5.5,89.6,-0.72,76
1998,AL,7,7.4,8.34,93.7,-1.36,76
1998,AL,8,6.9,5.69,92.1,-0.19,69
1998,AL,9,7.5,6.08,85.8,0.57,75
1998,AL,10,6.4,3.26,73.0,-1.59,64
1998,AL,11,10.1,3.42,65.5,-0.89,68
1998,AL,12,8.3,5.89,56.0,-0.81,64
1999,AL,1,8.1,4.0,47.3,0.04,72
1999,AL,2,9.5,5.4,57.7,1.65,67
1999,AL,3,10.4,5.15,62.3,2.17,72
1999,AL,4,8.3,2.82,74.3,1.95,65
1999,AL,5,9.0,6.78,81.9,2.11,72
1999,AL,6,7.5,3.27,88.6,0.42,73
1999,AL,7,7.7,6.02,96.5,-1.53,70
1999,AL,8,7.8,4.84,93.0,-1.45,80
1999,AL,9,7.8,3.5,85.0,1.8,66
1999,AL,10,6.4,2.86,79.4,-0.34,75
1999,AL,11,7.6,3.86,61.4,1.44,67
1999,AL,12,8.9,6.19,54.6,0.74,74
2000,AL,1,8.0,7.85,54.8,-0.54,63
2000,AL,2,8.6,5.97,54.9,-2.64,59
2000,AL,3,9.6,5.65,64.2,-1.88,60
2000,AL,4,10.1,6.75,77.1,0.71,66
2000,AL,5,8.3,6.67,83.6,-1.26,59
2000,AL,6,6.8,3.69,84.6,-0.19,77
2000,AL,7,6.3,6.38,88.3,-0.64,78
2000,AL,8,6.7,4.01,95.5,0.53,82
2000,AL,9,7.1,5.07,79.5,2.11,80
2000,AL,10,8.6,2.08,72.9,-1.97,65
2000,AL,11,8.0,5.23,65.5,-0.76,63
2000,AL,12,8.4,5.38,58.6,2.13,78
2001,AL,1,6.8,5.15,52.6,-2.31,72
2001,AL,2,9.4,6.5,56.6,0.71,65
2001,AL,3,10.1,4.89,69.1,-1.08,65
2001,AL,4,7.8,6.4,76.2,-1.57,56
2001,AL,5,8.1,4.82,82.5,0.64,61
2001,AL,6,8.1,5.1,93.7,1.59,79
2001,AL,7,7.2,4.46,91.1,0.2,69
2001,AL,8,7.7,3.7,89.2,-0.16,79
2001,AL,9,8.3,6.41,88.2,-0.73,70
2001,AL,10,8.5,4.29,70.8,1.6,66
2001,AL,11,9.3,7.34,65.2,0.99,74
2001,AL,12,9.4,3.11,57.6,-1.36,76
2002,AL,1,9.0,7.92,51.0,0.47,68
2002,AL,2,9.6,7.41,57.4,-0.6,60
2002,AL,3,11.8,7.88,61.9,-1.89,67
2002,AL,4,8.1,2.99,72.7,-2.08,56
2002,AL,5,7.7,2.29,83.6,-0.85,73
2002,AL,6,6.5,2.49,83.2,1.56,68
2002,AL,7,6.0,6.89,95.7,-0.17,70
2002,AL,8,7.9,5.59,84.8,-0.46,74
2002,AL,9,6.4,2.8,80.2,1.68,72
2002,AL,10,7.3,2.34,77.9,-2.43,69
2002,AL,11,8.4,3.4,66.8,0.67,67
2002,AL,12,7.3,3.78,58.6,0.72,72
2003,AL,1,9.2,7.67,48.1,1.36,72
2003,AL,2,8.5,4.41,59.4,-2.45,60
2003,AL,3,10.9,8.01,71.2,-1.15,66
2003,AL,4,9.3,3.33,71.2,1.79,69
2003,AL,5,9.4,5.42,81.3,1.78,67
2003,AL,6,8.0,5.87,86.8,1.4,71
2003,AL,7,5.9,3.61,89.7,0.5,73
2003,AL,8,7.8,2.4,88.1,-1.25,80
2003,AL,9,7.4,4.88,83.1,1.36,81
2003,AL,10,7.5,2.3,77.8,-0.51,69
2003,AL,11,9.9,3.87,58.9,-0.12,68
2003,AL,12,6.9,5.77,51.6,0.65,75
2004,AL,1,8.1,6.07,56.3,-1.31,67
2004,AL,2,9.9,6.99,58.4,-0.28,70
2004,AL,3,11.3,6.22,70.9,-0.66,70
2004,AL,4,9.3,7.19,77.0,2.56,56
2004,AL,5,7.4,6.32,86.8,-1.52,64
2004,AL,6,6.7,3.1,89.9,-0.18,74
2004,AL,7,6.9,4.31,88.6,0.39,69
2004,AL,8,6.1,3.7,92.5,1.89,78
2004,AL,9,8.7,4.17,87.6,1.21,69
2004,AL,10,6.3,2.15,81.1,0.71,70
2004,AL,11,8.0,5.68,63.8,0.78,77
2004,AL,12,8.9,3.41,61.1,2.26,73
2005,AL,1,6.9,7.9,54.8,1.7,71
2005,AL,2,8.2,6.84,64.0,0.25,66
2005,AL,3,10.4,4.96,67.7,0.72,71
2005,AL,4,10.0,6.02,78.0,2.05,67
2005,AL,5,7.4,3.54,79.2,0.88,73
2005,AL,6,8.3,4.03,87.5,2.0,74
2005,AL,7,6.4,3.09,89.2,-1.29,70
2005,AL,8,7.2,2.44,88.0,0.12,79
2005,AL,9,7.4,2.96,81.7,-2.36,76
2005,AL,10,7.9,3.64,72.9,-2.4,61
2005,AL,11,9.5,6.58,66.4,2.03,67
2005,AL,12,8.0,6.29,59.8,2.28,70
2006,AL,1,8.9,7.76,56.8,-0.79,71
2006,AL,2,8.3,5.41,54.3,1.62,70
2006,AL,3,11.6,5.0,69.6,-1.44,58
2006,AL,4,8.3,3.13,73.9,1.83,58
2006,AL,5,9.4,6.43,88.5,-0.27,68
2006,AL,6,7.1,4.83,91.9,-1.24,70
2006,AL,7,6.1,6.96,89.8,0.61,72
2006,AL,8,7.2,4.86,88.7,-0.2,76
2006,AL,9,7.6,6.13,81.8,2.38,73
2006,AL,10,7.0,2.33,76.5,-1.62,73
2006,AL,11,9.9,4.79,63.2,-0.16,73
2006,AL,12,7.6,7.08,56.3,-1.64,64
2007,AL,1,7.4,6.96,50.6,-0.67,65
2007,AL,2,8.6,4.29,57.0,-1.89,67
2007,AL,3,10.0,7.55,64.9,0.81,56
2007,AL,4,10.2,5.31,73.3,0.92,56
2007,AL,5,7.1,5.13,78.1,-1.58,66
2007,AL,6,7.2,4.03,90.9,0.4,71
2007,AL,7,6.3,3.29,94.2,-2.14,67
2007,AL,8,5.6,3.89,87.1,0.65,77
2007,AL,9,7.1,3.84,81.0,-1.19,80
2007,AL,10,7.5,2.39,71.0,-1.0,67
2007,AL,11,9.0,3.4,63.3,0.21,64
2007,AL,12,9.3,7.83,53.2,-0.34,75
2008,AL,1,8.9,5.51,56.2,-2.35,74
2008,AL,2,9.4,3.64,54.7,2.11,64
2008,AL,3,11.7,4.74,63.2,0.18,61
2008,AL,4,8.6,5.73,76.3,2.51,59
2008,AL,5,6.6,2.77,80.2,-0.07,68
2008,AL,6,6.6,3.28,92.8,2.46,67
2008,AL,7,7.5,3.71,88.6,0.42,73
2008,AL,8,7.3,3.19,89.9,1.24,82
2008,AL,9,6.7,4.43,79.7,2.48,78
2008,AL,10,8.3,3.03,75.0,-0.92,63
2008,AL,11,8.5,3.53,67.5,2.37,75
2008,AL,12,8.5,4.18,59.8,-1.08,70
2009,AL,1,8.7,6.58,50.8,-1.46,74
2009,AL,2,7.6,4.0,59.6,0.68,60
2009,AL,3,9.5,4.77,66.5,1.13,60
2009,AL,4,10.4,3.37,72.6,2.72,61
2009,AL,5,9.4,5.94,80.3,-1.07,73
2009,AL,6,5.8,5.76,86.6,1.42,68
2009,AL,7,7.8,4.14,86.5,0.67,68
2009,AL,8,6.9,3.91,85.2,-2.59,81
2009,AL,9,7.0,3.43,90.1,0.38,71
2009,AL,10,6.9,4.75,78.4,-2.53,75
2009,AL,11,8.7,6.92,66.2,1.58,73
2009,AL,12,8.8,6.78,53.5,-1.56,70
2010,AL,1,7.0,5.97,57.0,0.99,73
2010,AL,2,8.0,4.36,62.6,-0.67,75
2010,AL,3,10.2,8.82,63.9,-1.62,65
2010,AL,4,8.1,5.75,76.2,-1.31,59
2010,AL,5,7.5,3.01,78.6,-2.3,65
2010,AL,6,6.5,5.39,92.9,-1.66,65
2010,AL,7,6.1,3.27,95.7,-1.01,72
2010,AL,8,5.7,6.87,96.3,-1.21,72
2010,AL,9,8.2,4.18,89.8,0.91,77
2010,AL,10,7.8,2.42,78.1,0.33,63
2010,AL,11,9.2,2.63,69.0,-0.94,66
2010,AL,12,7.2,3.73,52.8,-0.87,63
2011,AL,1,9.5,6.25,58.0,0.86,77
2011,AL,2,7.9,4.27,63.3,-1.14,70
2011,AL,3,11.0,8.69,61.7,1.24,67
2011,AL,4,10.4,5.0,75.9,-1.43,61
2011,AL,5,7.9,6.04,85.7,-2.41,69
2011,AL,6,8.6,5.4,93.0,-1.27,67
2011,AL,7,6.9,6.61,95.3,-1.42,82
